V2	V(ce)	Ic(Q1)
Step Information: Vbb=0  (Step: 1/26)
1.000000000000000e-01	5.796127e-02	7.507126e-05
2.000000000000000e-01	9.102291e-02	1.946019e-04
3.000000000000000e-01	1.194839e-01	3.223502e-04
4.000000000000000e-01	1.556833e-01	4.362798e-04
5.000000000000000e-01	2.221893e-01	4.960906e-04
6.000000000000001e-01	3.178251e-01	5.038848e-04
7.000000000000001e-01	4.172145e-01	5.049742e-04
8.000000000000000e-01	5.167513e-01	5.058012e-04
9.000000000000000e-01	6.162938e-01	5.066183e-04
1.000000000000000e+00	7.158364e-01	5.074349e-04
1.100000000000000e+00	8.153791e-01	5.082516e-04
1.200000000000000e+00	9.149218e-01	5.090683e-04
1.300000000000000e+00	1.014464e+00	5.098850e-04
1.400000000000000e+00	1.114007e+00	5.107016e-04
1.500000000000000e+00	1.213550e+00	5.115183e-04
1.600000000000000e+00	1.313092e+00	5.123349e-04
1.700000000000000e+00	1.412635e+00	5.131516e-04
1.800000000000000e+00	1.512178e+00	5.139682e-04
1.900000000000000e+00	1.611720e+00	5.147849e-04
2.000000000000000e+00	1.711263e+00	5.156015e-04
2.100000000000000e+00	1.810806e+00	5.164182e-04
2.200000000000000e+00	1.910349e+00	5.172348e-04
2.300000000000000e+00	2.009891e+00	5.180514e-04
2.400000000000000e+00	2.109434e+00	5.188681e-04
2.500000000000000e+00	2.208977e+00	5.196847e-04
2.600000000000000e+00	2.308519e+00	5.205013e-04
2.700000000000000e+00	2.408062e+00	5.213180e-04
2.800000000000000e+00	2.507605e+00	5.221346e-04
2.900000000000000e+00	2.607147e+00	5.229512e-04
3.000000000000000e+00	2.706690e+00	5.237678e-04
3.100000000000000e+00	2.806233e+00	5.245844e-04
3.200000000000000e+00	2.905775e+00	5.254010e-04
3.300000000000000e+00	3.005318e+00	5.262176e-04
3.400000000000000e+00	3.104861e+00	5.270343e-04
3.500000000000000e+00	3.204404e+00	5.278509e-04
3.600000000000000e+00	3.303946e+00	5.286675e-04
