time	V(vo)	V(n001)
2.154236403240713e-02	1.580887e+01	1.580954e+01
2.158142653240713e-02	1.617664e+01	1.617690e+01
2.162048903240713e-02	1.654117e+01	1.654182e+01
2.165955153240713e-02	1.690402e+01	1.690426e+01
2.169861403240713e-02	1.726351e+01	1.726414e+01
2.173767653240713e-02	1.762120e+01	1.762143e+01
2.177673903240713e-02	1.797545e+01	1.797607e+01
2.181580153240713e-02	1.832778e+01	1.832799e+01
2.185486403240713e-02	1.867656e+01	1.867716e+01
2.189392653240713e-02	1.902331e+01	1.902351e+01
2.193298903240713e-02	1.936642e+01	1.936700e+01
2.197205153240712e-02	1.970739e+01	1.970758e+01
2.199704889925683e-02	1.992273e+01	1.992397e+01
2.199873323252969e-02	1.993706e+01	1.993850e+01
2.200210189907542e-02	1.996524e+01	1.996756e+01
2.200883923216687e-02	2.002082e+01	2.002560e+01
2.202231389834979e-02	2.012023e+01	2.014142e+01
2.203871497096854e-02	2.020219e+01	2.028191e+01
2.205686836884805e-02	2.025377e+01	2.043678e+01
2.208355977161977e-02	2.029678e+01	2.066328e+01
2.211225582767068e-02	2.032467e+01	2.090517e+01
2.219038082767068e-02	2.036912e+01	2.155504e+01
2.226292547052782e-02	2.039012e+01	2.214761e+01
2.233547011338496e-02	2.040854e+01	2.272794e+01
2.240801475624210e-02	2.042439e+01	2.329604e+01
2.248055939909925e-02	2.043766e+01	2.385189e+01
2.255310404195639e-02	2.044835e+01	2.439551e+01
2.262564868481353e-02	2.045647e+01	2.492689e+01
2.269819332767067e-02	2.046201e+01	2.544603e+01
2.292140761338495e-02	2.047878e+01	2.697136e+01
2.314462189909923e-02	2.049329e+01	2.834933e+01
2.336783618481351e-02	2.050552e+01	2.957993e+01
2.359105047052779e-02	2.051549e+01	3.066317e+01
2.381426475624207e-02	2.052319e+01	3.159904e+01
2.403747904195636e-02	2.052863e+01	3.238754e+01
2.426069332767064e-02	2.053179e+01	3.302867e+01
2.461225582767063e-02	2.053661e+01	3.367670e+01
2.496381832767062e-02	2.053839e+01	3.392143e+01
2.531538082767061e-02	2.053714e+01	3.376285e+01
2.566694332767061e-02	2.053285e+01	3.320097e+01
2.601850582767060e-02	2.052552e+01	3.223579e+01
2.637006832767059e-02	2.051516e+01	3.086730e+01
2.672163082767058e-02	2.050176e+01	2.909550e+01
2.685555939909915e-02	2.049657e+01	2.833080e+01
2.698948797052772e-02	2.048886e+01	2.751978e+01
2.712341654195629e-02	2.047863e+01	2.666244e+01
2.725734511338486e-02	2.046588e+01	2.575879e+01
2.739127368481343e-02	2.045060e+01	2.480882e+01
2.752520225624199e-02	2.043281e+01	2.381254e+01
2.765913082767056e-02	2.041250e+01	2.276994e+01
2.785444332767056e-02	2.034827e+01	2.118374e+01
2.789350582767056e-02	2.032181e+01	2.085674e+01
2.793256832767056e-02	2.027643e+01	2.052659e+01
2.797163082767056e-02	2.016065e+01	2.019335e+01
2.799041886554529e-02	2.002826e+01	2.003199e+01
2.800949257357813e-02	1.986834e+01	1.986746e+01
2.802004934906465e-02	1.977564e+01	1.977609e+01
2.803384354797976e-02	1.965738e+01	1.965637e+01
2.805110564934803e-02	1.950564e+01	1.950603e+01
2.807323575016603e-02	1.931348e+01	1.931246e+01
2.810759982666610e-02	1.900966e+01	1.901003e+01
2.814666232666610e-02	1.866459e+01	1.866357e+01
2.818572482666610e-02	1.831393e+01	1.831429e+01
2.822478732666610e-02	1.796328e+01	1.796226e+01
2.826384982666610e-02	1.760717e+01	1.760752e+01
2.830291232666610e-02	1.725115e+01	1.725013e+01
2.834197482666610e-02	1.688980e+01	1.689014e+01
2.838103732666610e-02	1.652863e+01	1.652761e+01
2.842009982666610e-02	1.616226e+01	1.616259e+01
2.845916232666610e-02	1.579615e+01	1.579513e+01
2.849822482666610e-02	1.542498e+01	1.542530e+01
2.853728732666609e-02	1.505416e+01	1.505314e+01
2.857634982666609e-02	1.467841e+01	1.467872e+01
2.861541232666609e-02	1.430310e+01	1.430209e+01
2.865447482666609e-02	1.392299e+01	1.392330e+01
2.869353732666609e-02	1.354343e+01	1.354241e+01
2.873259982666609e-02	1.315919e+01	1.315949e+01
2.877166232666609e-02	1.277560e+01	1.277458e+01
2.881072482666609e-02	1.238747e+01	1.238775e+01
2.884978732666609e-02	1.200007e+01	1.199906e+01
2.888884982666609e-02	1.160828e+01	1.160855e+01
2.892791232666609e-02	1.121732e+01	1.121630e+01
2.896697482666609e-02	1.082209e+01	1.082236e+01
2.900603732666608e-02	1.042781e+01	1.042680e+01
2.904509982666608e-02	1.002939e+01	1.002966e+01
2.908416232666608e-02	9.632015e+00	9.631005e+00
2.912322482666608e-02	9.230649e+00	9.230905e+00
2.916228732666608e-02	8.830421e+00	8.829414e+00
2.920134982666608e-02	8.426345e+00	8.426594e+00
2.924041232666608e-02	8.023510e+00	8.022504e+00
2.927947482666608e-02	7.616965e+00	7.617207e+00
2.931853732666608e-02	7.211765e+00	7.210762e+00
2.935759982666608e-02	6.802997e+00	6.803231e+00
2.939666232666608e-02	6.395677e+00	6.394676e+00
2.943572482666608e-02	5.984930e+00	5.985158e+00
2.947478732666607e-02	5.575736e+00	5.574739e+00
2.951384982666607e-02	5.163257e+00	5.163479e+00
2.955291232666607e-02	4.752437e+00	4.751443e+00
2.959197482666607e-02	4.338474e+00	4.338691e+00
2.963103732666607e-02	3.926276e+00	3.925285e+00
2.967009982666607e-02	3.511156e+00	3.511288e+00
2.970916232666607e-02	3.098154e+00	3.096763e+00
2.974822482666607e-02	2.681853e+00	2.681771e+00
2.978728732666607e-02	2.267750e+00	2.266375e+00
2.982634982666607e-02	1.850792e+00	1.850638e+00
2.986541232666607e-02	1.436021e+00	1.434622e+00
2.990447482666607e-02	1.018603e+00	1.018391e+00
2.994353732666606e-02	6.034458e-01	6.020054e-01
2.998259982666606e-02	1.858041e-01	1.855296e-01
3.002166232666606e-02	-2.294799e-01	-2.309742e-01
3.006072482666606e-02	-6.470947e-01	-6.474432e-01
3.009978732666606e-02	-1.062252e+00	-1.063815e+00
3.013884982666606e-02	-1.479586e+00	-1.480026e+00
3.017791232666606e-02	-1.894361e+00	-1.896014e+00
3.021697482666606e-02	-2.311157e+00	-2.311717e+00
3.025603732666606e-02	-2.725293e+00	-2.727072e+00
3.029509982666606e-02	-3.141287e+00	-3.142016e+00
3.033416232666606e-02	-3.554517e+00	-3.556487e+00
3.037322482666606e-02	-3.969428e+00	-3.970422e+00
3.041228732666605e-02	-4.381452e+00	-4.383759e+00
3.045134982666605e-02	-4.794921e+00	-4.796436e+00
3.049041232666605e-02	-5.186904e+00	-5.208391e+00
3.051421926267478e-02	-5.307365e+00	-5.459079e+00
3.053565674766581e-02	-5.355836e+00	-5.684556e+00
3.056578915716330e-02	-5.393643e+00	-6.001047e+00
3.059744780488111e-02	-5.418723e+00	-6.332989e+00
3.063651030488111e-02	-5.440546e+00	-6.741693e+00
3.071463530488110e-02	-5.470502e+00	-7.555995e+00
3.083182280488110e-02	-5.499620e+00	-8.768760e+00
3.095459066202396e-02	-5.518967e+00	-1.003102e+01
3.107735851916681e-02	-5.536253e+00	-1.127382e+01
3.120012637630967e-02	-5.551479e+00	-1.249717e+01
3.132289423345252e-02	-5.564644e+00	-1.370107e+01
3.144566209059537e-02	-5.575748e+00	-1.488551e+01
3.156842994773823e-02	-5.584792e+00	-1.605049e+01
3.169119780488108e-02	-5.591775e+00	-1.719602e+01
3.194789423345250e-02	-5.606334e+00	-1.952886e+01
3.220459066202393e-02	-5.619391e+00	-2.170250e+01
3.246128709059535e-02	-5.630947e+00	-2.371696e+01
3.271798351916678e-02	-5.641000e+00	-2.557221e+01
3.297467994773820e-02	-5.649552e+00	-2.726827e+01
3.323137637630962e-02	-5.656601e+00	-2.880514e+01
3.348807280488104e-02	-5.662149e+00	-3.018281e+01
3.400146566202389e-02	-5.671247e+00	-3.227792e+01
3.451485851916674e-02	-5.676605e+00	-3.352006e+01
3.502825137630958e-02	-5.678224e+00	-3.390923e+01
3.554164423345243e-02	-5.676104e+00	-3.344543e+01
3.605503709059528e-02	-5.670244e+00	-3.212866e+01
3.656842994773812e-02	-5.660646e+00	-2.995892e+01
3.708182280488097e-02	-5.647308e+00	-2.693621e+01
3.724923351916668e-02	-5.642071e+00	-2.580453e+01
3.741664423345239e-02	-5.636107e+00	-2.461025e+01
3.758405494773810e-02	-5.629416e+00	-2.335338e+01
3.775146566202381e-02	-5.621997e+00	-2.203392e+01
3.791887637630952e-02	-5.613851e+00	-2.065186e+01
3.808628709059523e-02	-5.604978e+00	-1.920721e+01
3.825369780488094e-02	-5.595378e+00	-1.769997e+01
3.838204601916666e-02	-5.588352e+00	-1.651316e+01
3.851039423345236e-02	-5.579276e+00	-1.530451e+01
3.863874244773808e-02	-5.568151e+00	-1.407404e+01
3.876709066202379e-02	-5.554977e+00	-1.282174e+01
3.889543887630950e-02	-5.539754e+00	-1.154762e+01
3.902378709059521e-02	-5.522481e+00	-1.025167e+01
3.915213530488092e-02	-5.503160e+00	-8.933888e+00
3.926932280488092e-02	-5.475720e+00	-7.722653e+00
3.934744780488092e-02	-5.448709e+00	-6.909246e+00
3.938651030488092e-02	-5.429727e+00	-6.500951e+00
3.942557280488092e-02	-5.403308e+00	-6.091678e+00
3.946463530488092e-02	-5.358064e+00	-5.681486e+00
3.950369780488092e-02	-5.234363e+00	-5.270440e+00
3.952174754314630e-02	-5.077134e+00	-5.080234e+00
3.953805807933205e-02	-4.909999e+00	-4.908215e+00
