time	V(vo)
1.769346175871151e-02	-1.250454e+01
1.784971175871150e-02	-1.249309e+01
1.800596175871150e-02	-1.247908e+01
1.816221175871150e-02	-1.246252e+01
1.831846175871149e-02	-1.244341e+01
1.847471175871149e-02	-1.242174e+01
1.870908675871149e-02	-1.235050e+01
1.874814925871148e-02	-1.232521e+01
1.878721175871148e-02	-1.228312e+01
1.882627425871148e-02	-1.217879e+01
1.884517016436932e-02	-1.204009e+01
1.886420532928740e-02	-1.185585e+01
1.887067010319415e-02	-1.179047e+01
1.888358149957093e-02	-1.166217e+01
1.889781725878198e-02	-1.151869e+01
1.891773960960796e-02	-1.131948e+01
1.894385345173031e-02	-1.105578e+01
1.898000004925663e-02	-1.069150e+01
1.901906254925663e-02	-1.029459e+01
1.905812504925663e-02	-9.897752e+00
1.909718754925663e-02	-9.497809e+00
1.913625004925663e-02	-9.098041e+00
1.917531254925663e-02	-8.695305e+00
1.921437504925663e-02	-8.292849e+00
1.925343754925663e-02	-7.887562e+00
1.929250004925663e-02	-7.482662e+00
1.933156254925663e-02	-7.075068e+00
1.937062504925663e-02	-6.667968e+00
1.940968754925662e-02	-6.258312e+00
1.944875004925662e-02	-5.849258e+00
1.948781254925662e-02	-5.437786e+00
1.952687504925662e-02	-5.027025e+00
1.956593754925662e-02	-4.613984e+00
1.960500004925662e-02	-4.201764e+00
1.964406254925662e-02	-3.787402e+00
1.968312504925662e-02	-3.373972e+00
1.972218754925662e-02	-2.958539e+00
1.976125004925662e-02	-2.544149e+00
1.980031254925662e-02	-2.127893e+00
1.983937504925662e-02	-1.712793e+00
1.987843754925661e-02	-1.295965e+00
1.991750004925661e-02	-8.804051e-01
1.995656254925661e-02	-4.632570e-01
1.999562504925661e-02	-4.748753e-02
2.003468754925661e-02	3.697308e-01
2.007375004925661e-02	7.854584e-01
2.011281254925661e-02	1.202496e+00
2.015187504925661e-02	1.617931e+00
2.019093754925661e-02	2.034538e+00
2.023000004925661e-02	2.449429e+00
2.026906254925661e-02	2.865353e+00
2.030812504925661e-02	3.279451e+00
2.034718754925660e-02	3.694444e+00
2.038625004925660e-02	4.107497e+00
2.042531254925660e-02	4.521170e+00
2.046437504925660e-02	4.931950e+00
2.050343754925660e-02	5.344700e+00
2.054250004925660e-02	5.754426e+00
2.058156254925660e-02	6.165167e+00
2.062062504925660e-02	6.573066e+00
2.065968754925660e-02	6.940567e+00
2.068447144720910e-02	7.034647e+00
2.070735379945018e-02	7.076748e+00
2.074641629945018e-02	7.116419e+00
2.078237828295251e-02	7.139491e+00
2.086050328295251e-02	7.172572e+00
2.097769078295251e-02	7.203354e+00
2.108929792580965e-02	7.221917e+00
2.120090506866679e-02	7.238511e+00
2.131251221152393e-02	7.253137e+00
2.142411935438107e-02	7.265794e+00
2.153572649723821e-02	7.276483e+00
2.164733364009535e-02	7.285204e+00
2.175894078295249e-02	7.291956e+00
2.201005685438106e-02	7.306870e+00
2.226117292580962e-02	7.320208e+00
2.251228899723819e-02	7.331972e+00
2.276340506866676e-02	7.342160e+00
2.301452114009532e-02	7.350774e+00
2.326563721152389e-02	7.357813e+00
2.351675328295245e-02	7.363276e+00
2.402456578295244e-02	7.372429e+00
2.453237828295243e-02	7.377778e+00
2.504019078295242e-02	7.379323e+00
2.554800328295241e-02	7.377064e+00
2.605581578295240e-02	7.371002e+00
2.656362828295239e-02	7.361135e+00
2.707144078295238e-02	7.347465e+00
2.728349435438095e-02	7.340959e+00
2.749554792580951e-02	7.332789e+00
2.770760149723808e-02	7.322954e+00
2.791965506866665e-02	7.311454e+00
2.813170864009521e-02	7.298289e+00
